Species
Abies concolor
Abies nordmanniana
Acer campestre
Acer ginnala
Acer griseum
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Aesculus flava
Aesculus glabra
Aesculus hippocastanum
Aesculus pavia
Ailanthus altissima
Amelanchier canadensis
Asimina triloba
Betula utilis
Betula lenta
Betula nigra
Betula populifolia
Paper mulberry
Carpinus betulus
Carya cordiformis
Carya ovata
Carya tomentosa
Castanea dentata
Catalpa speciosa
Cedrus atlantica
Cedrus deodara
Cedrus libani
Celtis occidentalis
Cercidiphyllum japonicum
Cercis canadensis
Chamaecyparis pisifera
Chionanthus retusus
Cladrastis lutea
Cornus florida
Cornus kousa
Cornus mas
Corylus colurna
Crataegus crus-galli
Crataegus laevigata
Crataegus phaenopyrum
Cryptomeria japonica
Diospyros virginiana
Eucommia ulmoides
Tetradium daniellii
Fagus grandifolia
Fraxinus americana
Fraxinus nigra
Fraxinus pennsylvanica
Ginkgo biloba
Gleditsia triacanthos
Halesia tetraptera
Ilex opaca
Juglans nigra
Juniperus virginiana
Koelreuteria paniculata
Larix decidua
Liquidambar styraciflua
Maclura pomifera
Magnolia acuminata
Magnolia denudata
Magnolia grandiflora
Magnolia_soulangeana
Magnolia stellata
Magnolia virginiana
Malus baccata
Malus floribunda
Malus hupehensis
Metasequoia glyptostroboides
Morus alba
Morus rubra
Nyssa sylvatica
Oxydendrum arboreum
Paulownia tomentosa
Phellodendron amurense
Picea abies
Picea orientalis
Picea pungens
Pinus bungeana
Pinus cembra
Pinus densiflora
Pinus flexilis
Pinus koraiensis
Pinus nigra
Pinus parviflora
Pinus peuce
Pinus rigida
Pinus strobus
Pinus thunbergii
Pinus wallichiana
Platanus acerifolia
Platanus occidentalis
Populus deltoides
Prunus sargentii
Prunus serotina
Prunus serrulata
Prunus subhirtella
Prunus yedoensis
Pseudolarix amabilis
Ptelea trifoliata
Pyrus calleryana
Quercus acutissima
Quercus alba
Quercus bicolor
Quercus cerris
Quercus coccinea
Quercus imbricaria
Quercus macrocarpa
Quercus palustris
Quercus phellos
Quercus robur
Quercus rubra
Quercus shumardii
Quercus velutina
Robinia pseudo-acacia
Salix babylonica
Salix nigra
Sassafras albidum
Stewartia pseudocamellia
Styrax japonicus
Styrax obassia
Syringa reticulata
Taxodium distichum
Tilia americana
Tilia cordata
Tilia europaea
Tilia tomentosa
Toona sinensis
Tsuga canadensis
Ulmus americana
Ulmus glabra
Ulmus parvifolia
Ulmus procera
Ulmus pumila
Zelkova serrata
Acer negundo
Acer pensylvanicum
Albizia julibrissin
Amelanchier arborea
Amelanchier laevis
Betula alleghaniensis
Carpinus caroliniana
Carya glabra
Catalpa bignonioides
Celtis tenuifolia
Chamaecyparis thyoides
Chionanthus virginicus
Crataegus pruinosa
Crataegus viridis
Ficus carica
Gymnocladus dioicus
Juglans cinerea
Liriodendron tulipifera
Magnolia macrophylla
Magnolia tripetala
Malus angustifolia
Malus coronaria
Malus pumila
Ostrya virginiana
Pinus echinata
Pinus pungens
Pinus resinosa
Pinus sylvestris
Pinus taeda
Pinus virginiana
Populus grandidentata
Populus tremuloides
Prunus pensylvanica
Prunus virginiana
Quercus falcata
Quercus marilandica
Quercus michauxii
Quercus montana
Quercus muehlenbergii
Quercus nigra
Quercus stellata
Quercus virginiana
Salix caroliniana
Salix matsudana
Staphylea trifolia
Ulmus rubra
